Station,ID,Elev,Latitude,Longitude,County,Nat_ID,Year_Built,Capacity,2014/09/16
CLEAR LK - CACHE CREEK,CLA,1336,38.957,-122.642,LAKE,CA00911,1914,315000,
BUCKS LAKE STORAGE,BCL,5168,39.897,-121.202,PLUMAS,CA00332,1928,103000,
WISHON,WSN,6560,37.005,-118.969,FRESNO,CA00411,1958,118000,
COYOTE (LAKE MENDOCINO),COY,720,39.197,-123.186,MENDOCINO,CA10201,1959,122400,30445.33333
COURTRIGHT (PG&E),CTG,8192,37.072,-118.967,FRESNO,CA00412,1958,123300,
PERRIS,PRR,1600,33.858,-117.183,RIVERSIDE,CA00054,1973,131452,58472.83333
SALT SPRINGS,SLS,3700,38.497,-120.216,AMADOR,CA00382,1931,141900,
TERMINUS DAM,TRM,752,36.415,-119.002,TULARE,CA10114,1962,143000,18095.66667
BLACK BUTTE,BLB,426,39.808,-122.329,TEHAMA,CA10102,1963,143700,38266.33333
SEVEN OAKS DAM,SVO,2610,34.1178,-117.0978,SAN BERNARDINO,CA01530,1999,145600,
PYRAMID,PYM,2606,34.633,-118.75,LOS ANGELES,CA00052,1973,178700,167883.6667
PARDEE,PAR,568,38.25,-120.85,CALAVERAS,CA00164,1929,197950,163266
HELL HOLE (PCWA),HHL,4630,39.058,-120.407,PLACER,CA00857,1966,208400,
STAMPEDE,STP,5956,39.471,-120.103,SIERRA,CA10192,1970,226500,56883.33333
UNION VALLEY,UNV,4870,38.864,-120.438,EL DORADO,CA00816,1963,230000,158721.5
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,-122.537,SHASTA,CA10204,1963,241100,237960.1667
CHERRY VALLEY DAM,CHV,4765,37.967,-119.917,TUOLUMNE,CA00125,1956,273500,186500
INDIAN VALLEY,INV,1502,39.083,-122.533,LAKE,CA01107,1976,300000,24550.75
PRADO DAM,PRA,566,33.89,-117.643,RIVERSIDE,CA10022,1941,314400,
CLEAR LK - CACHE CREEK,CLA,1336,38.957,-122.642,LAKE,CA00911,1914,315000,
NEW HOGAN LAKE,NHG,554,38.152,-120.812,CALAVERAS,CA10109,1963,317000,46703.66667
CASTAIC,CAS,1535,34.5152,-118.6101,LOS ANGELES,CA00044,1973,323700,122526.8333
WARM SPRINGS (USACE),WRS,440,38.723,-123.01,SONOMA,CA10303,1982,381000,150380
CAMANCHE RESERVOIR,CMN,236,38.225,-121.021,SAN JOAQUIN,CA00173,1963,417120,134739.3333
FRIANT DAM (MILLERTON),MIL,581,37.001,-119.705,FRESNO,CA10154,1942,520500,198236.5
ISABELLA DAM,ISB,2635,35.646,-118.473,KERN,CA10106,1953,568000,51359.33333
DIAMOND VALLEY,DMV,1756,33.67,-117.066,RIVERSIDE,CA01410,2000,800000,413310.1
NEW BULLARDS BAR,BUL,1965,39.393,-121.14,YUBA,CA00863,1970,969600,426106
FOLSOM LAKE,FOL,466,38.683,-121.183,SACRAMENTO,CA10148,1956,975000,366778.6667
PINE FLAT DAM,PNF,970,36.833,-119.325,FRESNO,CA10112,1954,1000000,117426.6667
LAKE ALMANOR,ALM,4600,40.218,-121.173,PLUMAS,CA00327,1927,1308000,
BERRYESSA,BER,456,38.513,-122.104,NAPA,CA10170,1957,1602000,922809
DON PEDRO RESERVOIR,DNP,830,37.702,-120.421,TUOLUMNE,CA00281,1971,2030000,791540
NEW MELONES RESERVOIR,NML,1135,37.9481,-120.525,CALAVERAS,CA10246,1979,2400000,528631.5
TRINITY LAKE,CLE,2370,40.801,-122.762,TRINITY,CA10196,1962,2447650,654373.8333
OROVILLE DAM,ORO,900,39.54,-121.493,BUTTE,CA00035,1968,3537577,1084694.5
SHASTA DAM (USBR),SHA,1067,40.718,-122.42,SHASTA,CA10186,1945,4552000,1224847.167
